ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1421,Bloqueios Clipp,Manuais,Publicado,Clipp SAAS,
1422,Aviso de Vencimento de suporte (últimos 15 dias),Manuais,Publicado,Clipp SAAS,
1672,Rejeição: Este XML não é válido - refNFe,Nota Fiscal Eletrônica - NFe,Publicado,Clipp SAAS,
1735,Emitindo notas eletrônicas sendo MEI com CPF - ClippFacil e 360,Nota Fiscal Eletrônica - NFe,Publicado,Clipp SAAS,
1799,CST que exige código ANP e as devidas configurações - GO,Nota Fiscal Eletrônica - NFe,Publicado,Clipp SAAS,
1822,#23374,Pré-Venda,Publicado,Clipp SAAS,
