ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1267,Rejeição 660: CFOP de Combustível e não informado grupo de combustível,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1269,Como gerar relatório de vendas da NFS-e,NFS-e,Publicado,Clipp Store 2020,
1270,Rejeição: Informe a Descrição do ANP,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1271,Rejeição: Pagamento com cartão de crédito em sistema de automação não integrado - ClippStore,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1272,Rejeição: GTIN (cEAN) com prefixo inválido,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1273,Rejeição 904: Informado indevidamente campo valor de pagamento,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1274,Rejeição: NFC-e com valor total superior ao permitido para destinatário não identificado,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1275,Curso SQL,Manuais,Publicado,Clipp Store 2020,
1278,Rejeição 905: Campos do grupo fatura não informados,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1279,"""Division by Zero"" ou ""TrueType font format error""",Diversos,Publicado,Clipp Store 2020,
1280,Sincronizando o Clipp com o Mercado Livre,Mercado Livre,Publicado,Clipp Store 2020,
1282,Anunciando produtos no Mercado Livre,Mercado Livre,Publicado,Clipp Store 2020,
1283,Criando pedidos do Mercado Livre,Mercado Livre,Publicado,Clipp Store 2020,
1284,Relacionando os produtos do Mercado Livre no Clipp,Mercado Livre,Publicado,Clipp Store 2020,
1285,Central de Compartilhamento,Manuais,Publicado,Clipp Store 2020,
1286,Minhas Notas,Minhas Notas,Publicado,Clipp Store 2020,
1287,Integração com o Troco Simples,Troco Simples,Publicado,Clipp Store 2020,
1288,Envio dos arquivos do Bloco X,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1289,Imprimir informação obrigatória relativa ao CACEPE - PE na NFC-e,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1290,Migração do ECF para NFC-e,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1291,Relatório de Vendas na NFe/NFC-e/SAT,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1292,Arquivo XML correspondente não criado ou inválido - Ao importar XML na nota de compra,Nota Fiscal de Compra,Publicado,Clipp Store 2020,
1293,Geração dos arquivos do Bloco K,SPED Fiscal,Publicado,Clipp Store 2020,
1294,Integração com ADV Integra - Exportar/Importar tributação dos produtos,Integração ADV Integra,Publicado,Clipp Store 2020,
1295,Epson TM-T20 imprime somente 30 itens da NFC-e/SAT,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1296,Emitindo nota fiscal de Entrada de Complemento de ICMS e ICMS ST. (Ou de Valores),Nota Fiscal de Compra,Publicado,Clipp Store 2020,
1297,O que é o Cadastro Inteligente,Integrações,Publicado,Clipp Store 2020,
1299,Utilizando o modo gratuito para simulação e Laudo,Integrações,Publicado,Clipp Store 2020,
1300,Cadastro Inteligente - integração com o Grupo IMendes,Integrações,Publicado,Clipp Store 2020,
1301,Habilitando e utilizando o Cadastro Inteligente na íntegra,Integrações,Publicado,Clipp Store 2020,
1302,Cadastrando produtos com ou sem EAN (Código de Barras),Integrações,Publicado,Clipp Store 2020,
1303,Saneando todo cadastro de estoque,Integrações,Publicado,Clipp Store 2020,
1304,Identificando as alterações (Log alterações),Integrações,Publicado,Clipp Store 2020,
1305,Alterando Faixa de Enquadramento no Simples Nacional para uso no Cadastro Inteligente,Integrações,Publicado,Clipp Store 2020,
1307,Lançando ICMS Efetivo,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1309,O arquivo de LOG está em uso - Ao efetuar backup,Cópia de Segurança - Backup,Publicado,Clipp Store 2020,
1310,"Informar campo ""nfAdProd"" no XML",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1311,"Emitindo nota fiscal eletrônica sendo emitente ""Produtor Rural"" - Emissão de NFP-e",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1312,"Erro 4015: Quando a situação tributária é diferente de substituição tributária, o código CEST deve ser nulo - Ao enviar estoque ao fisco",Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1313,"Erro 4014: Quando a situação tributária é substituição tributária, o código CEST é obrigatório - Ao enviar estoque ao fisco",Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1314,Código NCM inválido. Verifique o NCM dos produtos do seu estoque - Ao enviar estoque ao fisco,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1315,Impressora de etiquetas soltando papel sem conteúdo impresso ou desalinhado,Diversos,Publicado,Clipp Store 2020,
1316,Eventos de auditoria,Manuais,Publicado,Clipp Store 2020,
1317,É obrigatório informar a Identificação do Responsável Técnico (CSRT),Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1318,Rejeição NFe: Rejeição 324: CNPJ do destinatário já autorizado para download,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1319,Guia para Configuração e geração de Boletos com Registro,Manuais,Publicado,Clipp Store 2020,
1320,O que é um boleto com registro?,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1321,Configurando o Boleto,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1322,Gerando Boleto de Cobrança no Clipp Store,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1323,Geração do Arquivo de Cobrança para Transmissão,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1324,Receber contas através do arquivo de retorno,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1325,Guia para cópia dos arquivos XML,Manuais,Publicado,Clipp Store 2020,
1326,Backup ou Cópia de Arquivos XML da NFC-e,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1327,Backup ou Cópia de Arquivos XML da NFS-e,NFS-e,Publicado,Clipp Store 2020,
1328,Backup ou Cópia de Arquivos XML das Notas Fiscais de Compra.,Nota Fiscal de Compra,Publicado,Clipp Store 2020,
1331,Rejeições Bloco X,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1332,Data de referência do Estoque não pode ser anterior à data de início da obrigação,Pré-Venda,Publicado,Clipp Store 2020,
1334,"""Número do credenciamento do PAF-ECF informado no XML diferente do SAT e não corresponde a uma versão mais recente"" ou ""Laudo do PAF-ECF precisa ser até 180 dias da data de validade""",Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1335,Erro 3011: O valor do totalizador parcial I1 deve ser a soma dos valores líquidos dos produtos/serviços,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1336,Erro 1001: Schema inválido: The element 'DadosReducaoZ' has incomplete content. List of possible elements expected: 'TotalizadoresParciais',Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1337,Erro 3001: Já existe Redução Z com CRZ 0767 para o ECF de número de fabricação,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1338,Não foi possível consultar junto ao fisco os arquivos de estoque. Não encontrado,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1347,Botão Avançado,Integrações,Incompleto,Clipp Store 2020,
1348,Download XML notas Manifestadas,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1349,Serial difere do CNPJ cadastrado,Diversos,Publicado,Clipp Store 2020,
1350,Emitindo NFC-e no Ceará,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1351,Erro - Não informado o grupo de informações do responsável técnico.,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1352,Guia de lançamento da Substituição Tributária,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1353,ICMS Retido,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1354,Guia para configuração e emissão do CT-e,CT-e,Publicado,Clipp Store 2020,
1355,"Apresentação, o que é o CT-e?",CT-e,Publicado,Clipp Store 2020,
1356,Configurando o CT-e no ClippPRO,CT-e,Publicado,Clipp Store 2020,
1357,Emitindo o CT-e,CT-e,Publicado,Clipp Store 2020,
1358,Gerando assinatura do SAT (SP) pelo painel do Cliente,Sistema Autenticador e Transmissor – SAT,Publicado,Clipp Store 2020,
1359,Configuração de carteira de boletos,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1360,Configuração de Boleto de Cobrança - Caixa Econômica Federal,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1361,Configuração de Boleto de Cobrança - Banco do Brasil,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1362,Rejeição: CFOP de Importação e não informado dados de IPI,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1363,Situação: The entity name must immediately follow the amp in the entity reference - Ao enviar NFS-e,NFS-e,Publicado,Clipp Store 2020,
1364,Emitindo Nota de Entrega Futura,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1365,Lançando Faturamento e Venda Clipp PRO (SAAS),Financeiro,Publicado,Clipp Store 2020,
1366,Redução da BC-ICMS no SAT,Sistema Autenticador e Transmissor – SAT,Publicado,Clipp Store 2020,
1367,Guia para utilização do Cheff,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1368,Cadastrando o Grupo e Subgrupo nos produtos do estoque,Estoque,Publicado,Clipp Store 2020,
1369,Situação: O item da lista de serviços informado não consta no cadastro do prestador,NFS-e,Publicado,Clipp Store 2020,
1370,Configurações do Cheff,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1371,Configurando a balança no Cheff,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1372,Efetuando lançamentos na Mesa e Comanda,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1373,Menu Pedidos e Entrega,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1374,Aguardando Emissão de documento fiscal,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1375,"Informando BC ICMS, Valor do ICMS e IPI manualmente na nota de venda",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1376,Digest Value do documento não confere - NFC-e,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1377,Instalação Clipp Cheff,Clipp Cheff PRO,Publicado,Clipp Store 2020,
1378,Rejeição: Informado CST de diferimento sem as informacoes de diferimento,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1379,Rejeição: CST nao corresponde ao tipo de codigo de beneficio fiscal,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1380,Rejeição: CST nao corresponde ao tipo de codigo de beneficio fiscal,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1381,Rejeição: Operação com não contribuinte deve indicar operação com consumidor final,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1382,Rejeição: CST com benefício fiscal e não informado o código de benefício fiscal,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1384,Rejeição: Informado código de benefício fiscal para CST sem benefício fiscal,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1385,"Rejeição: CFOP inválido, informar 5932 ou 6932 - Ao transmitir CT-e",CT-e,Publicado,Clipp Store 2020,
1386,Rejeição: Valor do ICMS difere do produto BC e Alíquota,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1387,Rejeição: Não informado o grupo de autorização para UF que exige a identificação do Escritório de contabilidade na nota fiscal.,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1388,Desoneração de ICMS na NFC-e,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1389,Rejeição: Código numérico em formato inválido,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1390,Rejeição: Referenciado documento de operacao interna em operacao interestadual ou com o exterior,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1391,,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1392,Rejeição 521 - Operação Interna e UF do emitente difere da UF do destinatário/remetente contribuinte do ICMS,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1393,Rejeição: Informada modalidade de determinação da BC da ST como MVA e não informado o campo pMVAST,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1395,Cannot open file: O sistema não pode encontrar o arquivo especificado - Ao imprimir CCe,CT-e,Publicado,Clipp Store 2020,
1396,Críticas apresentadas no SPED,Financeiro,Publicado,Clipp Store 2020,
1398,Enviando os arquivos do Bloco X,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
1399,Montando Kit de produtos,Manuais,Publicado,Clipp Store 2020,
1400,Integração com o BanCryp no Clipp 2020,Integrações,Publicado,Clipp Store 2020,
1401,Integração com o ScannTech - Clube de Promoções,Integrações,Publicado,Clipp Store 2020,
1402,Inutilizando e cancelando um CT-e,CT-e,Publicado,Clipp Store 2020,
1403,Emitindo a carta de correção eletrônica (CCe) do CT-e.,CT-e,Publicado,Clipp Store 2020,
1404,Relatório de CT-e,CT-e,Publicado,Clipp Store 2020,
1405,Consultar dados dos Clientes,Integrações,Publicado,Clipp Store 2020,
1407,Guia das Novidades da Versão 2020 e PRO,Manuais,Publicado,Clipp Store 2020,
1408,Rejeição: Pedido de cancelamento e tempestivo,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1409,Inativar Impressora Fiscal,Manuais,Publicado,Clipp Store 2020,
1410,Rejeição: Destinatário bloqueado na UF,Pré-Venda,Publicado,Clipp Store 2020,
1411,Local de Retirada/Local de Entrega - Nota Fiscal Eletrônica,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1415,Referenciando chave da nota de compra na nota de venda,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
